,league,season,game,team,player,jersey_number,nation,pos,age,min,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,game_id
2315,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,Julián Álvarez,19,ARG,RW,23-250,67,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,59cd18ae
2316,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,Kyle Walker,2,ENG,RB,33-133,90,2,1,1,0,1,0,0,,0,0,0,0,1,3,2,0,59cd18ae
2317,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,Mateo Kovačić,8,CRO,LM,29-155,67,3,1,2,0,1,3,3,100.0,0,1,0,1,0,3,0,0,59cd18ae
2318,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,Matheus Nunes,27,POR,LM,25-042,23,2,1,0,1,1,1,1,100.0,0,0,0,0,0,2,0,0,59cd18ae
2319,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,Nathan Aké,6,NED,CB,28-232,90,3,2,3,0,0,2,2,100.0,0,1,0,1,0,3,2,0,59cd18ae
2320,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,Phil Foden,47,ENG,"LW,RW",23-133,90,2,2,0,2,0,1,3,33.3,2,1,0,1,0,2,2,0,59cd18ae
2321,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,Rico Lewis,82,ENG,RM,18-321,67,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,59cd18ae
2322,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,Rúben Dias,3,POR,CB,26-147,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,59cd18ae
2545,ENG-Premier League,2324,2023-10-21 Manchester City-Brighton,Manchester City,Bernardo Silva,20,POR,"CM,DM",29-072,90,1,0,0,1,0,0,0,,0,3,0,3,0,1,1,0,b782a834
2546,ENG-Premier League,2324,2023-10-21 Manchester City-Brighton,Manchester City,Erling Haaland,9,NOR,FW,23-092,90,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,b782a834
2547,ENG-Premier League,2324,2023-10-21 Manchester City-Brighton,Manchester City,Jack Grealish,10,ENG,LW,28-041,16,3,3,3,0,0,1,1,100.0,0,0,0,0,2,5,1,0,b782a834
2548,ENG-Premier League,2324,2023-10-21 Manchester City-Brighton,Manchester City,Jeremy Doku,11,BEL,LW,21-147,74,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,b782a834
2549,ENG-Premier League,2324,2023-10-21 Manchester City-Brighton,Manchester City,John Stones,5,ENG,DM,29-146,74,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,b782a834
2550,ENG-Premier League,2324,2023-10-21 Manchester City-Brighton,Manchester City,Joško Gvardiol,24,CRO,LB,21-271,90,2,0,0,2,0,0,0,,0,1,0,1,4,6,2,0,b782a834
2551,ENG-Premier League,2324,2023-10-21 Manchester City-Brighton,Manchester City,Julián Álvarez,19,ARG,"CM,AM",23-263,89,1,0,0,1,0,0,2,0.0,2,0,0,0,0,1,0,0,b782a834
2552,ENG-Premier League,2324,2023-10-21 Manchester City-Brighton,Manchester City,Kyle Walker,2,ENG,RB,33-146,90,1,0,0,1,0,0,3,0.0,3,1,0,1,2,3,1,0,b782a834
2553,ENG-Premier League,2324,2023-10-21 Manchester City-Brighton,Manchester City,Manuel Akanji,25,SUI,CB,28-094,89,1,1,0,1,0,0,0,,0,2,0,2,0,1,3,0,b782a834
2554,ENG-Premier League,2324,2023-10-21 Manchester City-Brighton,Manchester City,Nathan Aké,6,NED,CB,28-245,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,b782a834
2555,ENG-Premier League,2324,2023-10-21 Manchester City-Brighton,Manchester City,Phil Foden,47,ENG,RW,23-146,90,0,0,0,0,0,0,0,,0,2,0,2,1,1,0,0,b782a834
2556,ENG-Premier League,2324,2023-10-21 Manchester City-Brighton,Manchester City,Rodri,16,ESP,DM,27-121,90,2,1,0,1,1,2,3,66.7,1,0,0,0,1,3,1,0,b782a834
2557,ENG-Premier League,2324,2023-10-21 Manchester City-Brighton,Manchester City,Rúben Dias,3,POR,CB,26-160,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,b782a834
2558,ENG-Premier League,2324,2023-10-21 Manchester City-Brighton,Manchester City,Stefan Ortega,18,GER,GK,30-349,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,b782a834
2956,ENG-Premier League,2324,2023-10-29 Manchester Utd-Manchester City,Manchester City,Bernardo Silva,20,POR,"DM,RM",29-080,90,2,2,2,0,0,1,1,100.0,0,1,0,1,0,2,0,0,f6bfec82
2957,ENG-Premier League,2324,2023-10-29 Manchester Utd-Manchester City,Manchester City,Ederson,31,BRA,GK,30-073,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,f6bfec82
2958,ENG-Premier League,2324,2023-10-29 Manchester Utd-Manchester City,Manchester City,Erling Haaland,9,NOR,FW,23-100,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,f6bfec82
2959,ENG-Premier League,2324,2023-10-29 Manchester Utd-Manchester City,Manchester City,Jack Grealish,10,ENG,LW,28-049,86,1,1,1,0,0,0,0,,0,2,0,2,1,2,1,0,f6bfec82
2960,ENG-Premier League,2324,2023-10-29 Manchester Utd-Manchester City,Manchester City,Jeremy Doku,11,BEL,LW,21-155,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,f6bfec82
2961,ENG-Premier League,2324,2023-10-29 Manchester Utd-Manchester City,Manchester City,John Stones,5,ENG,CB,29-154,90,1,0,1,0,0,0,0,,0,1,0,1,1,2,2,0,f6bfec82
2962,ENG-Premier League,2324,2023-10-29 Manchester Utd-Manchester City,Manchester City,Joško Gvardiol,24,CRO,LB,21-279,90,0,0,0,0,0,0,2,0.0,2,0,0,0,3,3,2,1,f6bfec82
2963,ENG-Premier League,2324,2023-10-29 Manchester Utd-Manchester City,Manchester City,Julián Álvarez,19,ARG,AM,23-271,86,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,f6bfec82
2964,ENG-Premier League,2324,2023-10-29 Manchester Utd-Manchester City,Manchester City,Kyle Walker,2,ENG,RB,33-154,90,3,3,1,2,0,1,1,100.0,0,1,1,0,1,4,1,0,f6bfec82
2965,ENG-Premier League,2324,2023-10-29 Manchester Utd-Manchester City,Manchester City,Mateo Kovačić,8,CRO,"LM,AM",29-176,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,f6bfec82
2966,ENG-Premier League,2324,2023-10-29 Manchester Utd-Manchester City,Manchester City,Phil Foden,47,ENG,RW,23-154,90,2,1,2,0,0,1,1,100.0,0,3,0,3,2,4,0,1,f6bfec82
2967,ENG-Premier League,2324,2023-10-29 Manchester Utd-Manchester City,Manchester City,Rodri,16,ESP,"DM,CM",27-129,90,3,2,3,0,0,1,1,100.0,0,0,0,0,1,4,1,0,f6bfec82
2968,ENG-Premier League,2324,2023-10-29 Manchester Utd-Manchester City,Manchester City,Rúben Dias,3,POR,CB,26-168,90,0,0,0,0,0,0,0,,0,0,0,0,3,3,3,0,f6bfec82
3146,ENG-Premier League,2324,2023-11-04 Manchester City-Bournemouth,Manchester City,Bernardo Silva,20,POR,AM,29-086,84,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,e75a870b
3147,ENG-Premier League,2324,2023-11-04 Manchester City-Bournemouth,Manchester City,Ederson,31,BRA,GK,30-079,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,e75a870b
3148,ENG-Premier League,2324,2023-11-04 Manchester City-Bournemouth,Manchester City,Erling Haaland,9,NOR,FW,23-106,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,e75a870b
3149,ENG-Premier League,2324,2023-11-04 Manchester City-Bournemouth,Manchester City,Jeremy Doku,11,BEL,WB,21-161,90,2,2,1,1,0,1,1,100.0,0,1,0,1,0,2,0,0,e75a870b
3150,ENG-Premier League,2324,2023-11-04 Manchester City-Bournemouth,Manchester City,John Stones,5,ENG,CB,29-160,70,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,e75a870b
3151,ENG-Premier League,2324,2023-11-04 Manchester City-Bournemouth,Manchester City,Julián Álvarez,19,ARG,"AM,FW",23-277,70,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,e75a870b
3152,ENG-Premier League,2324,2023-11-04 Manchester City-Bournemouth,Manchester City,Kalvin Phillips,4,ENG,CM,27-337,20,1,1,0,0,1,0,0,,0,0,0,0,1,2,0,0,e75a870b
3153,ENG-Premier League,2324,2023-11-04 Manchester City-Bournemouth,Manchester City,Kyle Walker,2,ENG,"WB,CB",33-160,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,e75a870b
3154,ENG-Premier League,2324,2023-11-04 Manchester City-Bournemouth,Manchester City,Manuel Akanji,25,SUI,CB,28-108,90,1,0,1,0,0,0,0,,0,1,0,1,0,1,0,0,e75a870b
3155,ENG-Premier League,2324,2023-11-04 Manchester City-Bournemouth,Manchester City,Mateo Kovačić,8,CRO,CM,29-182,90,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,e75a870b
3156,ENG-Premier League,2324,2023-11-04 Manchester City-Bournemouth,Manchester City,Matheus Nunes,27,POR,AM,25-069,20,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,e75a870b
3157,ENG-Premier League,2324,2023-11-04 Manchester City-Bournemouth,Manchester City,Nathan Aké,6,NED,CB,28-259,90,0,0,0,0,0,0,0,,0,2,0,2,0,0,4,0,e75a870b
3158,ENG-Premier League,2324,2023-11-04 Manchester City-Bournemouth,Manchester City,Oscar Bobb,52,NOR,AM,20-115,6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,e75a870b
3159,ENG-Premier League,2324,2023-11-04 Manchester City-Bournemouth,Manchester City,Phil Foden,47,ENG,"FW,AM",23-160,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,e75a870b
3160,ENG-Premier League,2324,2023-11-04 Manchester City-Bournemouth,Manchester City,Rico Lewis,82,ENG,"CB,WB",18-348,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,e75a870b
3161,ENG-Premier League,2324,2023-11-04 Manchester City-Bournemouth,Manchester City,Rodri,16,ESP,CM,27-135,70,0,0,0,0,0,0,0,,0,2,1,1,1,1,0,0,e75a870b
3528,ENG-Premier League,2324,2023-11-12 Chelsea-Manchester City,Manchester City,Bernardo Silva,20,POR,CM,29-094,90,2,1,0,1,1,0,1,0.0,1,2,0,2,0,2,0,0,53bb8f30
3529,ENG-Premier League,2324,2023-11-12 Chelsea-Manchester City,Manchester City,Ederson,31,BRA,GK,30-087,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,53bb8f30
3530,ENG-Premier League,2324,2023-11-12 Chelsea-Manchester City,Manchester City,Erling Haaland,9,NOR,FW,23-114,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,53bb8f30
3531,ENG-Premier League,2324,2023-11-12 Chelsea-Manchester City,Manchester City,Jack Grealish,10,ENG,LW,28-063,32,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,53bb8f30
3532,ENG-Premier League,2324,2023-11-12 Chelsea-Manchester City,Manchester City,Jeremy Doku,11,BEL,LW,21-169,58,2,2,0,0,2,1,2,50.0,1,0,0,0,0,2,0,0,53bb8f30
3533,ENG-Premier League,2324,2023-11-12 Chelsea-Manchester City,Manchester City,Joško Gvardiol,24,CRO,LB,21-293,90,3,1,0,2,1,1,1,100.0,0,2,2,0,0,3,0,1,53bb8f30
3534,ENG-Premier League,2324,2023-11-12 Chelsea-Manchester City,Manchester City,Julián Álvarez,19,ARG,CM,23-285,78,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,53bb8f30
3535,ENG-Premier League,2324,2023-11-12 Chelsea-Manchester City,Manchester City,Kyle Walker,2,ENG,RB,33-168,90,3,1,1,2,0,3,4,75.0,1,3,1,2,0,3,2,0,53bb8f30
3536,ENG-Premier League,2324,2023-11-12 Chelsea-Manchester City,Manchester City,Manuel Akanji,25,SUI,DM,28-116,90,2,1,2,0,0,2,2,100.0,0,1,1,0,3,5,2,0,53bb8f30
3537,ENG-Premier League,2324,2023-11-12 Chelsea-Manchester City,Manchester City,Mateo Kovačić,8,CRO,CM,29-190,12,2,1,1,1,0,2,2,100.0,0,0,0,0,1,3,0,0,53bb8f30
3538,ENG-Premier League,2324,2023-11-12 Chelsea-Manchester City,Manchester City,Phil Foden,47,ENG,RW,23-168,90,1,1,1,0,0,1,2,50.0,1,1,0,1,3,4,0,0,53bb8f30
3539,ENG-Premier League,2324,2023-11-12 Chelsea-Manchester City,Manchester City,Rodri,16,ESP,DM,27-143,90,1,0,1,0,0,1,4,25.0,3,3,1,2,2,3,0,0,53bb8f30
3540,ENG-Premier League,2324,2023-11-12 Chelsea-Manchester City,Manchester City,Rúben Dias,3,POR,CB,26-182,90,1,1,0,1,0,1,3,33.3,2,2,0,2,0,1,8,0,53bb8f30
3704,ENG-Premier League,2324,2023-11-25 Manchester City-Liverpool,Manchester City,Bernardo Silva,20,POR,CM,29-107,90,5,3,1,3,1,5,6,83.3,1,1,1,0,0,5,1,0,5d4a5006
3705,ENG-Premier League,2324,2023-11-25 Manchester City-Liverpool,Manchester City,Ederson,31,BRA,GK,30-100,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,5d4a5006
3706,ENG-Premier League,2324,2023-11-25 Manchester City-Liverpool,Manchester City,Erling Haaland,9,NOR,FW,23-127,90,2,1,0,2,0,1,1,100.0,0,0,0,0,0,2,2,0,5d4a5006
3707,ENG-Premier League,2324,2023-11-25 Manchester City-Liverpool,Manchester City,Jeremy Doku,11,BEL,LW,21-182,90,4,3,1,2,1,0,1,0.0,1,1,0,1,0,4,1,0,5d4a5006
3708,ENG-Premier League,2324,2023-11-25 Manchester City-Liverpool,Manchester City,Julián Álvarez,19,ARG,CM,23-298,90,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,5d4a5006
3709,ENG-Premier League,2324,2023-11-25 Manchester City-Liverpool,Manchester City,Kyle Walker,2,ENG,RB,33-181,90,0,0,0,0,0,0,0,,0,0,0,0,3,3,2,0,5d4a5006
3710,ENG-Premier League,2324,2023-11-25 Manchester City-Liverpool,Manchester City,Manuel Akanji,25,SUI,DM,28-129,90,2,1,0,0,2,0,0,,0,0,0,0,0,2,5,1,5d4a5006
3711,ENG-Premier League,2324,2023-11-25 Manchester City-Liverpool,Manchester City,Nathan Aké,6,NED,LB,28-280,90,3,1,2,1,0,1,2,50.0,1,2,0,2,1,4,5,0,5d4a5006
3712,ENG-Premier League,2324,2023-11-25 Manchester City-Liverpool,Manchester City,Phil Foden,47,ENG,RW,23-181,90,1,1,1,0,0,1,3,33.3,2,2,0,2,1,2,2,0,5d4a5006
3713,ENG-Premier League,2324,2023-11-25 Manchester City-Liverpool,Manchester City,Rodri,16,ESP,DM,27-156,90,3,3,2,0,1,1,3,33.3,2,0,0,0,0,3,1,0,5d4a5006
3714,ENG-Premier League,2324,2023-11-25 Manchester City-Liverpool,Manchester City,Rúben Dias,3,POR,CB,26-195,90,1,1,1,0,0,0,0,,0,2,1,1,0,1,2,0,5d4a5006
4136,ENG-Premier League,2324,2023-12-03 Manchester City-Tottenham,Manchester City,Bernardo Silva,20,POR,CM,29-115,90,2,1,0,1,1,1,3,33.3,2,4,0,4,2,4,1,0,0e39f016
4137,ENG-Premier League,2324,2023-12-03 Manchester City-Tottenham,Manchester City,Ederson,31,BRA,GK,30-108,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0e39f016
4138,ENG-Premier League,2324,2023-12-03 Manchester City-Tottenham,Manchester City,Erling Haaland,9,NOR,FW,23-135,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0e39f016
4139,ENG-Premier League,2324,2023-12-03 Manchester City-Tottenham,Manchester City,Jack Grealish,10,ENG,LW,28-084,39,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0,0e39f016
4140,ENG-Premier League,2324,2023-12-03 Manchester City-Tottenham,Manchester City,Jeremy Doku,11,BEL,LW,21-190,51,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0e39f016
4141,ENG-Premier League,2324,2023-12-03 Manchester City-Tottenham,Manchester City,Joško Gvardiol,24,CRO,LB,21-314,86,0,0,0,0,0,0,0,,0,2,0,2,3,3,1,0,0e39f016
4142,ENG-Premier League,2324,2023-12-03 Manchester City-Tottenham,Manchester City,Julián Álvarez,19,ARG,CM,23-306,86,0,0,0,0,0,0,0,,0,3,0,3,0,0,0,0,0e39f016
4143,ENG-Premier League,2324,2023-12-03 Manchester City-Tottenham,Manchester City,Kyle Walker,2,ENG,RB,33-189,90,1,1,1,0,0,1,1,100.0,0,0,0,0,3,4,0,0,0e39f016
4144,ENG-Premier League,2324,2023-12-03 Manchester City-Tottenham,Manchester City,Manuel Akanji,25,SUI,DM,28-137,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,0e39f016
4145,ENG-Premier League,2324,2023-12-03 Manchester City-Tottenham,Manchester City,Mateo Kovačić,8,CRO,CM,29-211,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0e39f016
4146,ENG-Premier League,2324,2023-12-03 Manchester City-Tottenham,Manchester City,Nathan Aké,6,NED,LB,28-288,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0e39f016
4147,ENG-Premier League,2324,2023-12-03 Manchester City-Tottenham,Manchester City,Phil Foden,47,ENG,RW,23-189,72,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0,0e39f016
4148,ENG-Premier League,2324,2023-12-03 Manchester City-Tottenham,Manchester City,Rico Lewis,82,ENG,RW,19-012,18,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,0e39f016
4149,ENG-Premier League,2324,2023-12-03 Manchester City-Tottenham,Manchester City,Rodri,16,ESP,DM,27-164,90,2,2,0,1,1,2,2,100.0,0,1,1,0,4,6,0,0,0e39f016
4150,ENG-Premier League,2324,2023-12-03 Manchester City-Tottenham,Manchester City,Rúben Dias,3,POR,CB,26-203,90,2,0,0,2,0,2,2,100.0,0,1,0,1,1,3,4,0,0e39f016
4264,ENG-Premier League,2324,2023-12-06 Aston Villa-Manchester City,Manchester City,Bernardo Silva,20,POR,RW,29-118,90,3,2,2,1,0,1,5,20.0,4,0,0,0,0,3,1,0,0ad90506
4265,ENG-Premier League,2324,2023-12-06 Aston Villa-Manchester City,Manchester City,Ederson,31,BRA,GK,30-111,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0ad90506
4266,ENG-Premier League,2324,2023-12-06 Aston Villa-Manchester City,Manchester City,Erling Haaland,9,NOR,FW,23-138,90,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,0ad90506
4267,ENG-Premier League,2324,2023-12-06 Aston Villa-Manchester City,Manchester City,John Stones,5,ENG,DM,29-192,90,0,0,0,0,0,0,1,0.0,1,4,3,1,1,1,4,0,0ad90506
4268,ENG-Premier League,2324,2023-12-06 Aston Villa-Manchester City,Manchester City,Joško Gvardiol,24,CRO,LB,21-317,90,8,6,2,5,1,2,2,100.0,0,2,2,0,1,9,2,0,0ad90506
4269,ENG-Premier League,2324,2023-12-06 Aston Villa-Manchester City,Manchester City,Julián Álvarez,19,ARG,CM,23-309,67,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,2,0,0ad90506
4270,ENG-Premier League,2324,2023-12-06 Aston Villa-Manchester City,Manchester City,Kyle Walker,2,ENG,RB,33-192,90,1,1,1,0,0,1,3,33.3,2,0,0,0,1,2,4,0,0ad90506
4271,ENG-Premier League,2324,2023-12-06 Aston Villa-Manchester City,Manchester City,Manuel Akanji,25,SUI,DM,28-140,90,1,0,0,1,0,0,3,0.0,3,1,0,1,0,1,5,0,0ad90506
4272,ENG-Premier League,2324,2023-12-06 Aston Villa-Manchester City,Manchester City,Mateo Kovačić,8,CRO,CM,29-214,23,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,0ad90506
4273,ENG-Premier League,2324,2023-12-06 Aston Villa-Manchester City,Manchester City,Matheus Nunes,27,POR,CM,25-101,23,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0ad90506
4274,ENG-Premier League,2324,2023-12-06 Aston Villa-Manchester City,Manchester City,Oscar Bobb,52,NOR,LW,20-147,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0ad90506
4275,ENG-Premier League,2324,2023-12-06 Aston Villa-Manchester City,Manchester City,Phil Foden,47,ENG,LW,23-192,72,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,0ad90506
4276,ENG-Premier League,2324,2023-12-06 Aston Villa-Manchester City,Manchester City,Rico Lewis,82,ENG,CM,19-015,67,2,1,1,1,0,0,0,,0,1,0,1,1,3,1,0,0ad90506
4277,ENG-Premier League,2324,2023-12-06 Aston Villa-Manchester City,Manchester City,Rúben Dias,3,POR,CB,26-206,90,3,2,0,3,0,1,2,50.0,1,3,3,0,2,5,9,0,0ad90506
4741,ENG-Premier League,2324,2023-12-10 Luton Town-Manchester City,Manchester City,Bernardo Silva,20,POR,"RW,CM",29-122,90,4,1,1,3,0,2,4,50.0,2,0,0,0,1,5,0,0,f6155857
4742,ENG-Premier League,2324,2023-12-10 Luton Town-Manchester City,Manchester City,Ederson,31,BRA,GK,30-115,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,f6155857
4743,ENG-Premier League,2324,2023-12-10 Luton Town-Manchester City,Manchester City,Jack Grealish,10,ENG,"LW,LM",28-091,90,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0,f6155857
